val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim,epoch,step,lr-Adam,lr-Adam-1,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch
,,,,,,,,,,,,,,,,,,,,,,,,46,19049,,,722.443115234375,15180.7109375,14458.267578125,0.25304555892944336,0.0,-0.04374511539936066,0.0,0.0,-0.1123046875,-0.11767578125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19099,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,46,19099,,,754.949951171875,15419.2021484375,14664.251953125,0.25613316893577576,0.0,-0.04385783523321152,0.0,0.0,-0.1103515625,-0.12353515625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19149,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,46,19149,,,759.0137939453125,14820.71484375,14061.701171875,0.24741342663764954,0.0,-0.04397052526473999,0.0,0.0,-0.099609375,-0.0986328125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,46,19175,,,,,,,,,,,,,713.8302001953125,14813.2978515625,14099.4560546875,0.24768173694610596,0.0,-0.0435715951025486,0.0,0.0,-0.10648360848426819,-0.11200549453496933
,,,,,,,,,,,,,,,,,,,,,,,,,19199,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19199,,,737.2593994140625,14884.8388671875,14147.5791015625,0.248747318983078,0.0,-0.04408331960439682,0.0,0.0,-0.109375,-0.10546875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19249,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19249,,,717.8723754882812,14622.1396484375,13904.267578125,0.24527502059936523,0.0,-0.04419600963592529,0.0,0.0,-0.10595703125,-0.1083984375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19299,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19299,,,700.3434448242188,14427.34765625,13727.00390625,0.2427675724029541,0.0,-0.04430871084332466,0.0,0.0,-0.09912109375,-0.09912109375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19349,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19349,,,745.936767578125,14954.9697265625,14209.033203125,0.24988366663455963,0.0,-0.044421471655368805,0.0,0.0,-0.10400390625,-0.109375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19399,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19399,,,739.9122924804688,14790.5390625,14050.626953125,0.24765147268772125,0.0,-0.04453415796160698,0.0,0.0,-0.11279296875,-0.11474609375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19449,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19449,,,732.878173828125,15255.8408203125,14522.962890625,0.25462406873703003,0.0,-0.04464709386229515,0.0,0.0,-0.1044921875,-0.1162109375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19499,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19499,,,670.1409301757812,14669.71484375,13999.57421875,0.24706637859344482,0.0,-0.04475963115692139,0.0,0.0,-0.10888671875,-0.111328125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19549,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19549,,,709.7207641601562,14505.59375,13795.873046875,0.24417449533939362,0.0,-0.04487242549657822,0.0,0.0,-0.1083984375,-0.1220703125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,47,19583,,,,,,,,,,,,,718.013916015625,14761.7724609375,14043.75390625,0.24752096831798553,0.0,-0.044491369277238846,0.0,0.0,-0.10639983415603638,-0.11172305792570114
,,,,,,,,,,,,,,,,,,,,,,,,,19599,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19599,,,706.5452880859375,14126.732421875,13420.1875,0.238774374127388,0.0,-0.044985126703977585,0.0,0.0,-0.1083984375,-0.1201171875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19649,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19649,,,698.4502563476562,14224.3642578125,13525.9140625,0.24039733409881592,0.0,-0.04509782791137695,0.0,0.0,-0.10009765625,-0.10107421875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19699,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19699,,,681.77685546875,14235.943359375,13554.1669921875,0.24089011549949646,0.0,-0.045210715383291245,0.0,0.0,-0.10888671875,-0.11328125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19749,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19749,,,701.97900390625,15145.8046875,14443.826171875,0.253944456577301,0.0,-0.04532363638281822,0.0,0.0,-0.11181640625,-0.11865234375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19799,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19799,,,675.7496337890625,14761.662109375,14085.912109375,0.24880483746528625,0.0,-0.04543643072247505,0.0,0.0,-0.10205078125,-0.11328125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19849,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19849,,,734.8975830078125,15046.6240234375,14311.7265625,0.25217658281326294,0.0,-0.04554896056652069,0.0,0.0,-0.10791015625,-0.111328125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19899,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19899,,,674.9129638671875,14387.1650390625,13712.251953125,0.24351686239242554,0.0,-0.04566163569688797,0.0,0.0,-0.115234375,-0.1015625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,19949,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19949,,,804.3402099609375,15038.69140625,14234.3515625,0.25120729207992554,0.0,-0.04577440768480301,0.0,0.0,-0.10302734375,-0.1064453125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,48,19991,,,,,,,,,,,,,717.031005859375,14652.21484375,13935.181640625,0.24658942222595215,0.0,-0.04541142284870148,0.0,0.0,-0.1061796322464943,-0.11212517321109772
,,,,,,,,,,,,,,,,,,,,,,,,,19999,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,19999,,,701.4556884765625,14307.1845703125,13605.728515625,0.24212494492530823,0.0,-0.04588731378316879,0.0,0.0,-0.11376953125,-0.1123046875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20049,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20049,,,677.14111328125,17265.34765625,14195.6279296875,0.250801682472229,0.478515625,-0.045999884605407715,5000.0,0.90625,-0.1865234375,-0.427734375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20099,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20099,,,724.2344970703125,16903.251953125,14425.7265625,0.25423333048820496,0.380859375,-0.04611189663410187,4603.51318359375,0.8828125,-0.10693359375,-0.384765625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20149,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20149,,,725.7423095703125,17922.51171875,15202.1396484375,0.2656233310699463,0.41796875,-0.046223245561122894,4772.1982421875,0.8828125,-0.1435546875,-0.416015625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20199,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20199,,,753.6691284179688,16877.734375,14695.4912109375,0.2583187222480774,0.431640625,-0.04633384197950363,3309.637451171875,0.80859375,-0.0908203125,-0.5078125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20249,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20249,,,785.29443359375,16861.751953125,15280.365234375,0.266914963722229,0.26171875,-0.04644410312175751,3041.78515625,0.890625,-0.054443359375,-0.306640625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20299,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20299,,,720.9166870117188,18064.533203125,15869.0078125,0.27556368708610535,0.294921875,-0.046553630381822586,5000.0,0.94140625,-0.06298828125,-0.205078125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20349,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20349,,,748.824462890625,16929.73828125,15343.556640625,0.267985463142395,0.224609375,-0.0466625802218914,3728.061767578125,0.90625,0.08203125,-0.1318359375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20399,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20399,,,726.8565673828125,16778.43359375,15264.380859375,0.2669071555137634,0.2236328125,-0.04677136242389679,3520.037841796875,0.9296875,0.0595703125,-0.1015625,,,,,,,,,,
0.2721225619316101,743.3525390625,16365.7685546875,15622.3330078125,0.08382833749055862,-0.046775706112384796,1.0,0.9752066135406494,-0.01491864025592804,-0.08382833749055862,19.08566665649414,0.2940927743911743,0.27225974202156067,743.3525390625,16375.2001953125,15631.76171875,0.08347322791814804,-0.046775706112384796,1.0,0.974862277507782,-0.01491864025592804,-0.08347322791814804,19.08118438720703,0.29446250200271606,49,20399,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,49,20399,,,,,,,,,,,,,720.6043701171875,17035.744140625,14971.8642578125,0.2623368799686432,0.3120679557323456,-0.04632566496729851,4096.044921875,0.8823338150978088,-0.08011406660079956,-0.31207573413848877
,,,,,,,,,,,,,,,,,,,,,,,,,20449,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20449,,,714.3450927734375,16172.7119140625,15086.076171875,0.2643861174583435,0.10693359375,-0.04688054323196411,3481.516357421875,0.9296875,0.052001953125,-0.11083984375,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20499,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20499,,,750.1320190429688,16291.16796875,15666.9580078125,0.2729179263114929,-0.040283203125,-0.04698951169848442,3125.92431640625,0.95703125,0.0830078125,-0.0203857421875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20549,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20549,,,746.6101684570312,17178.09375,16142.0439453125,0.27990779280662537,0.06103515625,-0.047098301351070404,4742.18212890625,0.90625,0.1064453125,-0.10205078125,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20599,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20599,,,813.23486328125,16864.953125,15858.896484375,0.27585989236831665,0.06494140625,-0.04720715805888176,2969.156982421875,0.9140625,0.10107421875,-0.08154296875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20649,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20649,,,764.967041015625,16540.630859375,15586.6953125,0.27197253704071045,0.05712890625,-0.04731655865907669,3307.74853515625,0.93359375,0.11328125,-0.033447265625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20699,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20699,,,746.632080078125,16620.19921875,15615.30078125,0.27246347069740295,0.06884765625,-0.04742608964443207,3751.278076171875,0.921875,0.064453125,-0.10546875,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20749,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,50,20749,,,727.0380859375,17038.822265625,15970.03125,0.2776998281478882,0.1064453125,-0.04753604531288147,3210.5966796875,0.921875,0.154296875,-0.015625,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,20799,4.5e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,
