lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch
0.00045,0.00045,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,337.53326416015625,5819.48193359375,5481.94873046875,0.3414842188358307,0.0,-0.010495509952306747,0.0,0.0,-0.5066575407981873,-0.5041996836662292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,,,,,,,,,,,0,0.33230334520339966,320.64697265625,5602.279296875,5281.38916015625,0.24314744770526886,-0.014962316490709782,1.0,0.9903760552406311,-0.17672275006771088,-0.24314744770526886,17.259485244750977,0.211027130484581,0.33216166496276855,320.64697265625,5599.92333984375,5279.03271484375,0.24278247356414795,-0.014962316490709782,1.0,0.9905826449394226,-0.17672275006771088,-0.24278247356414795,17.265535354614258,0.21143212914466858,,,,,,,,,,
0.00045,0.00045,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,316.11981201171875,4951.51708984375,4635.3974609375,0.29895344376564026,0.0,-0.02298104204237461,0.0,0.0,-0.5040270090103149,-0.49085578322410583,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,129,,,,,,,,,,,0,0.28562042117118835,229.81436157226562,4549.7763671875,4319.41357421875,0.5492064952850342,-0.030967533588409424,1.0,1.1783608198165894,-0.5555609464645386,-0.5492064952850342,19.18804931640625,0.24853360652923584,0.28542765974998474,229.81436157226562,4546.52294921875,4316.1591796875,0.5494987964630127,-0.030967533588409424,1.0,1.1782026290893555,-0.5555609464645386,-0.5494987964630127,19.19678497314453,0.24868442118167877,,,,,,,,,,
0.00045,0.00045,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,149,252.3321075439453,4364.7021484375,4112.3701171875,0.2764520049095154,0.0,-0.035420309752225876,0.0,0.0,-0.5142841935157776,-0.5079238414764404,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,194,,,,,,,,,,,0,0.2700515687465668,261.1981506347656,4126.74951171875,3865.1435546875,0.40669959783554077,-0.04719157516956329,1.0,1.1951115131378174,-0.5687854290008545,-0.40669959783554077,20.155044555664062,0.35318198800086975,0.2701471447944641,261.1981506347656,4128.3876953125,3866.7822265625,0.40633872151374817,-0.04719157516956329,1.0,1.19532310962677,-0.5687854290008545,-0.40633872151374817,20.151634216308594,0.352970689535141,,,,,,,,,,
0.00045,0.00045,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
