lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch
,,799,1213.026611328125,14546.7041015625,13333.677734375,0.2049466371536255,0.0,-0.0018756418721750379,0.0,0.0,-0.5102482438087463,-0.5111419558525085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,849,1213.067138671875,13971.0556640625,12757.98828125,0.19627231359481812,0.0,-0.0019922880455851555,0.0,0.0,-0.5118077397346497,-0.5129798650741577,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,899,1246.4725341796875,13696.771484375,12450.298828125,0.19168072938919067,0.0,-0.0021089117508381605,0.0,0.0,-0.503736674785614,-0.49692556262016296,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,949,1238.0323486328125,13456.6796875,12218.6474609375,0.1882479190826416,0.0,-0.0022255571093410254,0.0,0.0,-0.5160087943077087,-0.5186166167259216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,1263.6025390625,13019.6533203125,11756.05078125,0.18130025267601013,0.0,-0.0023423233069479465,0.0,0.0,-0.5100685954093933,-0.5080395340919495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1049,1276.8221435546875,13414.9921875,12138.169921875,0.18721196055412292,0.0,-0.0024591698311269283,0.0,0.0,-0.489166259765625,-0.48778387904167175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1099,1262.5419921875,12867.482421875,11604.9404296875,0.17919105291366577,0.0,-0.002575887367129326,0.0,0.0,-0.4977756440639496,-0.48748528957366943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1149,1266.112548828125,12578.4912109375,11312.37890625,0.17483432590961456,0.0,-0.002692471956834197,0.0,0.0,-0.5038429498672485,-0.4940907955169678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1199,1252.2559814453125,12503.623046875,11251.3671875,0.17400193214416504,0.0,-0.002809185767546296,0.0,0.0,-0.5015034675598145,-0.490984171628952,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1249,1326.470703125,12620.4111328125,11293.9404296875,0.17474569380283356,0.0,-0.002925874199718237,0.0,0.0,-0.492876261472702,-0.48377522826194763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1299,1329.014404296875,12194.9462890625,10865.931640625,0.16833047568798065,0.0,-0.003042453434318304,0.0,0.0,-0.5085279941558838,-0.500801682472229,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1349,1297.568115234375,12417.724609375,11120.15625,0.17229396104812622,0.0,-0.0031589658465236425,0.0,0.0,-0.5131365656852722,-0.5182893872261047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1399,1349.5693359375,12673.9541015625,11324.384765625,0.17549602687358856,0.0,-0.0032753758132457733,0.0,0.0,-0.5056036710739136,-0.49625638127326965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1449,1379.1605224609375,13019.0712890625,11639.9111328125,0.18038979172706604,0.0,-0.0033917289692908525,0.0,0.0,-0.5017919540405273,-0.4996452033519745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
