lr-Adam,lr-Adam-1,step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
0.00045,0.00045,26549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26549,1.048774003982544,0.051388438791036606,0.14831006526947021,3422.26708984375,-26350.88671875,-29404.19140625,0.06111070513725281,-0.07379274815320969,-2.767418622970581,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26590,,,,,,,,,,,4,0.0611112155020237,3452.083740234375,-25952.6640625,-29404.669921875,-0.09290346503257751,-2.768815517425537,1.0,0.9987586140632629,0.0971209779381752,0.09290346503257751,31.795886993408203,0.8663914203643799,0.06110269948840141,3452.083740234375,-25954.90234375,-29406.884765625,-0.09291883558034897,-2.768815517425537,1.0,0.998767614364624,0.0971209779381752,0.09291883558034897,31.796850204467773,0.86639004945755
0.00045,0.00045,26599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26599,0.9720079302787781,-0.07840007543563843,-0.13719958066940308,3410.515869140625,-25082.728515625,-29028.197265625,0.0625527948141098,0.10699044167995453,-2.768923759460449,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
0.00045,0.00045,26649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26649,0.9924459457397461,0.00750576239079237,-0.007773697841912508,3418.752685546875,-26047.46875,-29768.546875,0.05972497910261154,0.06046542152762413,-2.7712345123291016,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26655,,,,,,,,,,,4,0.06263236701488495,3433.336181640625,-25573.94921875,-29007.412109375,0.13144876062870026,-2.7717254161834717,1.0,0.9792173504829407,-0.08975008875131607,-0.13144876062870026,31.28152847290039,0.8468820452690125,0.06264124065637589,3433.336181640625,-25571.6328125,-29005.087890625,0.1313195824623108,-2.7717254161834717,1.0,0.979280948638916,-0.08975008875131607,-0.1313195824623108,31.281862258911133,0.8468636870384216
0.00045,0.00045,26699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26699,0.9830856323242188,-0.0867663025856018,-0.12073394656181335,3470.153564453125,-25175.626953125,-29417.544921875,0.061068207025527954,0.1543528437614441,-2.772895097732544,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26720,,,,,,,,,,,4,0.059493087232112885,3444.325927734375,-26386.8359375,-29831.158203125,-0.008223620243370533,-2.7736318111419678,1.0,1.0346550941467285,-0.060758113861083984,0.008223620243370533,31.940095901489258,0.8655983805656433,0.059501007199287415,3444.325927734375,-26384.759765625,-29829.068359375,-0.008226019330322742,-2.7736318111419678,1.0,1.034658432006836,-0.060758113861083984,0.008226019330322742,31.937177658081055,0.8655261397361755
0.00045,0.00045,26749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26749,0.9915323257446289,-0.09052693098783493,-0.1077788695693016,3437.0634765625,-25229.99609375,-29568.4296875,0.06049562990665436,0.1802741289138794,-2.774348735809326,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26785,,,,,,,,,,,4,0.05986809358000755,3443.117431640625,-26290.654296875,-29734.0234375,0.25109803676605225,-2.775573492050171,1.0,1.0186251401901245,-0.2867305278778076,-0.25109803676605225,31.753009796142578,0.8660005331039429,0.05987011268734932,3443.117431640625,-26290.130859375,-29733.48828125,0.2512231171131134,-2.775573492050171,1.0,1.0185643434524536,-0.2867305278778076,-0.2512231171131134,31.751924514770508,0.8659681081771851
0.00045,0.00045,26799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26799,1.0095391273498535,-0.05513525754213333,-0.03630901873111725,3447.3876953125,-26299.625,-30234.517578125,0.05796722322702408,0.09750109165906906,-2.7761929035186768,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
0.00045,0.00045,26849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26849,1.023637294769287,-0.044335171580314636,0.0025634777266532183,3388.80517578125,-25034.228515625,-28488.587890625,0.0645979791879654,0.013110770843923092,-2.77847957611084,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26850,,,,,,,,,,,4,0.06065543740987778,3414.616943359375,-26113.55078125,-29528.197265625,0.03836518153548241,-2.7784764766693115,1.0,0.9997977614402771,-0.037569310516119,-0.03836518153548241,31.73430824279785,0.8655806183815002,0.06067131459712982,3414.616943359375,-26109.35546875,-29524.015625,0.03838856518268585,-2.7784764766693115,1.0,0.9997842907905579,-0.037569310516119,-0.03838856518268585,31.733688354492188,0.8655712604522705
0.00045,0.00045,26899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26899,0.9911655187606812,0.059752579778432846,0.04154959321022034,3434.520751953125,-26401.7421875,-29750.95703125,0.059809982776641846,-0.017061147838830948,-2.7781684398651123,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26915,,,,,,,,,,,4,0.06174107640981674,3458.8349609375,-25782.83984375,-29241.91015625,0.22883109748363495,-2.7782907485961914,1.0,0.9963827729225159,-0.22140754759311676,-0.22883109748363495,31.500259399414062,0.8497083783149719,0.061749137938022614,3458.8349609375,-25780.720703125,-29239.7890625,0.22872084379196167,-2.7782907485961914,1.0,0.99643874168396,-0.22140754759311676,-0.22872084379196167,31.4980525970459,0.8497616648674011
0.00045,0.00045,26949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26949,0.9759637117385864,-0.02294822409749031,-0.07324427366256714,3494.02783203125,-25676.5,-29784.89453125,0.05968332663178444,0.12287324666976929,-2.779026508331299,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,26980,,,,,,,,,,,4,0.05939122289419174,3479.44873046875,-26383.134765625,-29862.72265625,0.14041946828365326,-2.7801096439361572,1.0,0.9998722076416016,-0.13532021641731262,-0.14041946828365326,31.8117733001709,0.8676689863204956,0.059401627629995346,3479.44873046875,-26380.39453125,-29859.984375,0.1404293328523636,-2.7801096439361572,1.0,0.9998462796211243,-0.13532021641731262,-0.1404293328523636,31.812000274658203,0.8676495552062988
0.00045,0.00045,26999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26999,1.0110526084899902,0.0850658044219017,0.10532812029123306,3453.430908203125,-26273.26171875,-29297.28515625,0.0615323930978775,-0.08588159829378128,-2.780839681625366,5000.0,4,,,,,,,,,,,,,,,,,,,,,,,,
,,27045,,,,,,,,,,,4,0.0621575266122818,3423.2109375,-25708.306640625,-29131.9765625,0.4592495858669281,-2.7821664810180664,1.0,1.1190686225891113,-0.4832489490509033,-0.4592495858669281,31.526504516601562,0.8548053503036499,0.06215965747833252,3423.2109375,-25707.755859375,-29131.419921875,0.4594491124153137,-2.7821664810180664,1.0,1.1190732717514038,-0.4832489490509033,-0.4594491124153137,31.525733947753906,0.8547542095184326
0.00045,0.00045,27049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
