epoch,lr-Adam,lr-Adam-1,step,train/kl_loss_epoch,train/kl_loss_step,train/logits/fake_epoch,train/logits/fake_step,train/logits/real_epoch,train/logits/real_step,train/loss/disc_epoch,train/loss/disc_step,train/loss/g_epoch,train/loss/g_step,train/loss/nll_epoch,train/loss/nll_step,train/loss/rec_epoch,train/loss/rec_step,train/loss/total_epoch,train/loss/total_step,train/scalars/d_weight_epoch,train/scalars/d_weight_step,train/scalars/logvar_epoch,train/scalars/logvar_step,val/kl_loss,val/logits/fake,val/logits/real,val/loss/disc,val/loss/g,val/loss/nll,val/loss/rec,val/loss/total,val/metrics/psnr,val/metrics/ssim,val/scalars/d_weight,val/scalars/logvar,val_ema/kl_loss,val_ema/logits/fake,val_ema/logits/real,val_ema/loss/disc,val_ema/loss/g,val_ema/loss/nll,val_ema/loss/rec,val_ema/loss/total,val_ema/metrics/psnr,val_ema/metrics/ssim,val_ema/scalars/d_weight,val_ema/scalars/logvar
,4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,410.4005126953125,,-0.5948290228843689,,-0.5968475937843323,,0.0,,0.0,,4507.5361328125,,0.2751993238925934,,4917.9365234375,,0.0,,-0.00011193623504368588,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,420.803955078125,,-0.5937979221343994,,-0.6000897884368896,,0.0,,0.0,,3869.397216796875,,0.23634815216064453,,4290.201171875,,0.0,,-0.00023426285770256072,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,440.9505310058594,,-0.5923095345497131,,-0.594772458076477,,0.0,,0.0,,3323.6064453125,,0.2031411975622177,,3764.556884765625,,0.0,,-0.0003568712854757905,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,458.4874572753906,,-0.5991256833076477,,-0.6000024080276489,,0.0,,0.0,,3156.35009765625,,0.19303452968597412,,3614.837646484375,,0.0,,-0.0004786350473295897,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,458.8454284667969,,-0.5987437963485718,,-0.5943430066108704,,0.0,,0.0,,2948.897705078125,,0.180478036403656,,3407.7431640625,,0.0,,-0.0005998900160193443,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,453.4786376953125,,-0.5976890325546265,,-0.5889366269111633,,0.0,,0.0,,2719.7373046875,,0.16659992933273315,,3173.2158203125,,0.0,,-0.0007203936693258584,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,461.40789794921875,,-0.5831335186958313,,-0.5826933979988098,,0.0,,0.0,,2614.98876953125,,0.1603120118379593,,3076.396728515625,,0.0,,-0.0008405635016970336,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,399,,456.133544921875,,-0.5989298820495605,,-0.5903451442718506,,0.0,,0.0,,2504.69140625,,0.15368691086769104,,2960.824951171875,,0.0,,-0.0009603330981917679,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,449,,466.2471923828125,,-0.5826790928840637,,-0.5768683552742004,,0.0,,0.0,,2473.39404296875,,0.15187948942184448,,2939.64111328125,,0.0,,-0.0010795553680509329,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,499,,463.86944580078125,,-0.5842635631561279,,-0.5793344974517822,,0.0,,0.0,,2423.31005859375,,0.14892704784870148,,2887.179443359375,,0.0,,-0.001198550104163587,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,549,,458.02740478515625,,-0.6054667830467224,,-0.6018836498260498,,0.0,,0.0,,2320.88916015625,,0.14278489351272583,,2778.91650390625,,0.0,,-0.0013172662584111094,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
