lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,749,499.33270263671875,2811.562255859375,2312.2294921875,0.14266526699066162,0.0,-0.0017941700061783195,0.0,0.0,-0.46957021951675415,-0.46776244044303894,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,799,447.9089660644531,2712.377685546875,2264.46875,0.1398572325706482,0.0,-0.0019127888372167945,0.0,0.0,-0.4724557101726532,-0.47657719254493713,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,815,,,,,,,,,,,1,469.74468994140625,2930.614013671875,2460.86962890625,0.1514478623867035,0.0,-0.0014683135086670518,0.0,0.0,-0.4894470274448395,-0.4922616183757782,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,849,470.6211853027344,2707.9501953125,2237.3291015625,0.13830584287643433,0.0,-0.0020313551649451256,0.0,0.0,-0.4812871515750885,-0.48218658566474915,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,899,480.8813781738281,2547.934326171875,2067.052978515625,0.12803715467453003,0.0,-0.0021498051937669516,0.0,0.0,-0.476990282535553,-0.4793720543384552,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,949,490.40966796875,2812.244384765625,2321.834716796875,0.14365530014038086,0.0,-0.002267928095534444,0.0,0.0,-0.490565687417984,-0.4979712665081024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,474.3140869140625,2555.1337890625,2080.81982421875,0.129080668091774,0.0,-0.002385818399488926,0.0,0.0,-0.5125439167022705,-0.5173919796943665,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
