epoch,global_step,loss,lr-AdamW,lr_abs,step
,,,5.245447550000001e-07,,1049
,,,5.245447550000001e-07,,1049
,,,5.245447550000001e-07,,1049
,,,5.245447550000001e-07,,1049
2,1049.0,0.064453125,,5.245447596280428e-07,1049
,,,5.495445050000001e-07,,1099
,,,5.495445050000001e-07,,1099
,,,5.495445050000001e-07,,1099
,,,5.495445050000001e-07,,1099
2,1099.0,0.0751953125,,5.495444952430262e-07,1099
,,,5.74544255e-07,,1149
,,,5.74544255e-07,,1149
,,,5.74544255e-07,,1149
,,,5.74544255e-07,,1149
2,1149.0,0.01416015625,,5.745442308580095e-07,1149
,,,5.99544005e-07,,1199
,,,5.99544005e-07,,1199
,,,5.99544005e-07,,1199
,,,5.99544005e-07,,1199
2,1199.0,0.216796875,,5.995440233164118e-07,1199
,,,6.24543755e-07,,1249
,,,6.24543755e-07,,1249
,,,6.24543755e-07,,1249
,,,6.24543755e-07,,1249
3,1249.0,0.1640625,,6.245437589313951e-07,1249
,,,6.495435050000001e-07,,1299
,,,6.495435050000001e-07,,1299
,,,6.495435050000001e-07,,1299
,,,6.495435050000001e-07,,1299
3,1299.0,0.439453125,,6.495434945463785e-07,1299
