epoch,lr-Adam,lr-Adam-1,step,train/logits/fake_epoch,train/logits/fake_step,train/logits/real_epoch,train/logits/real_step,train/loss/disc_epoch,train/loss/disc_step,train/loss/g_epoch,train/loss/g_step,train/loss/nll_epoch,train/loss/nll_step,train/loss/rec_epoch,train/loss/rec_step,train/loss/total_epoch,train/loss/total_step,train/loss/vq_epoch,train/loss/vq_step,train/scalars/d_weight_epoch,train/scalars/d_weight_step,train/scalars/logvar_epoch,train/scalars/logvar_step,val/logits/fake,val/logits/real,val/loss/disc,val/loss/g,val/loss/nll,val/loss/rec,val/loss/total,val/loss/vq,val/metrics/psnr,val/metrics/ssim,val/scalars/d_weight,val/scalars/logvar,val_ema/logits/fake,val_ema/logits/real,val_ema/loss/disc,val_ema/loss/g,val_ema/loss/nll,val_ema/loss/rec,val_ema/loss/total,val_ema/loss/vq,val_ema/metrics/psnr,val_ema/metrics/ssim,val_ema/scalars/d_weight,val_ema/scalars/logvar
0,,,799,,0.8370555639266968,,0.8233410120010376,,0.0,,0.0,,3898.260986328125,,0.2394484579563141,,3899.273193359375,,1.0122655630111694,,0.0,,-0.001995854778215289,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,849,,0.870191752910614,,0.8633955121040344,,0.0,,0.0,,3537.61962890625,,0.21757635474205017,,3538.70458984375,,1.0849266052246094,,0.0,,-0.0021186296362429857,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,899,,0.8541161417961121,,0.8443034291267395,,0.0,,0.0,,3514.677490234375,,0.21627655625343323,,3515.794677734375,,1.1171565055847168,,0.0,,-0.00224339053966105,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,949,,0.8434842824935913,,0.8256750106811523,,0.0,,0.0,,3910.887939453125,,0.24049918353557587,,3912.023681640625,,1.1357669830322266,,0.0,,-0.002367606619372964,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,999,,0.8734701871871948,,0.8629084825515747,,0.0,,0.0,,3457.002685546875,,0.21295765042304993,,3458.2509765625,,1.2482503652572632,,0.0,,-0.002489848295226693,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1049,,0.8532029390335083,,0.8641257882118225,,0.0,,0.0,,3882.4697265625,,0.23895448446273804,,3883.655517578125,,1.1857271194458008,,0.0,,-0.002612415002658963,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1099,,0.8244946599006653,,0.8465557098388672,,0.0,,0.0,,3504.669921875,,0.21605132520198822,,3505.8828125,,1.2127984762191772,,0.0,,-0.0027349404990673065,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1149,,0.8473700284957886,,0.8384058475494385,,0.0,,0.0,,3871.69384765625,,0.23848393559455872,,3872.95361328125,,1.259758472442627,,0.0,,-0.002856776351109147,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1199,,0.8857658505439758,,0.8964796662330627,,0.0,,0.0,,3461.185791015625,,0.21359413862228394,,3462.52099609375,,1.3352352380752563,,0.0,,-0.00297690462321043,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
